tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Type of Disease (Bacterial Blight/Telya),Anthracnose,Fruit Spot/ Rot,Fusarium Wilt,Fruit Borer / Blight Blora
23,23,9,1013,0.0,5,9.6,45,0,0,0,0,0
22,45,5,1011,0.0,4,9.6,44,0,0,0,0,0
23,96,26,1004,2.93333333333333,1,5.4,75,0,0,1,1,0
24,68,6,1006,0.0,3,9.1,51,0,0,0,0,0
23,90,36,1000,0.4,1,3.9,75,0,0,1,1,0
30,56,18,1006,0.0,5,6.2,31,0,0,0,0,0
34,19,7,1009,0.0,5,11.2,35,0,0,0,0,0
26,42,9,1010,0.0,5,9.7,45,0,0,0,0,0
24,31,8,1013,0.0,5,9.6,41,0,0,0,0,0
23,86,22,1004,0.0999999999999999,3,3.9,60,0,0,1,0,1
27,61,7,1008,0.36666666666666603,3,6.2,60,1,1,0,0,0
24,32,6,1013,0.0,5,9.7,45,0,0,0,0,0
32,31,6,1008,0.0,5,10.4,40,0,0,0,0,0
25,35,7,1015,0.0,5,9.8,42,0,0,0,0,0
33,23,15,1009,0.0,5,11.2,34,0,0,0,0,0
26,84,8,1004,0.33333333333333304,1,6.2,65,1,0,1,0,1
26,71,25,1006,0.0,3,6.2,45,1,1,0,0,0
24,26,4,1012,0.0,5,9.6,41,0,0,0,0,0
24,80,9,1007,0.1,3,5.4,55,0,0,0,0,1
26,83,5,1002,0.5,1,3.9,65,1,0,1,0,1
32,26,6,1006,0.0,5,11.2,33,0,0,0,0,0
25,35,4,1012,0.0,4,9.6,42,1,0,0,0,0
23,63,4,1010,0.0333333333333333,3,9.6,44,0,0,0,0,0
29,53,27,1004,0.0,3,10.4,45,1,1,0,0,0
25,20,5,1013,0.0,5,9.6,42,0,0,0,0,0
27,28,5,1013,0.0,4,10.1,45,1,0,0,0,0
26,45,6,1012,0.0,5,9.7,44,0,0,0,0,0
28,51,8,1012,0.0,5,9.1,45,0,0,0,0,0
25,27,4,1012,0.0,5,9.8,44,0,0,0,0,0
27,78,7,1005,1.9333333333333302,1,5.4,70,1,1,0,1,0
28,37,7,1011,0.0333333333333333,5,11.2,33,0,0,0,0,0
23,52,13,1012,0.0,4,9.8,44,0,0,0,0,0
24,84,16,1003,0.2,2,3.8,62,0,0,1,0,1
32,13,13,1012,0.0,3,10.7,31,0,0,0,0,0
23,35,10,1013,0.0,5,9.7,45,0,0,0,0,0
25,50,6,1013,0.0,5,9.7,45,0,0,0,0,0
27,19,12,1009,0.0,5,10.7,33,0,0,0,0,0
24,83,12,1005,0.1,3,3.9,50,0,0,0,0,1
23,85,18,1007,0.0,3,5.4,51,0,0,0,0,1
31,24,9,1011,0.0,5,11.2,30,0,0,0,0,0
25,33,10,1011,0.0,5,9.8,42,0,0,0,0,0
31,25,17,1009,0.0,4,11.2,35,0,0,0,0,0
32,44,15,1006,0.0,5,10.4,33,0,0,0,0,0
24,44,6,1014,0.0,5,9.6,43,0,0,0,0,0
24,84,12,1004,0.4333333333333329,2,6.2,57,0,0,0,0,1
29,22,10,1011,0.0,4,10.1,43,0,0,0,0,0
30,23,5,1010,0.0,5,10.7,32,0,0,0,0,0
22,93,16,1002,1.33333333333333,1,3.8,65,0,0,1,0,1
24,24,3,1011,0.0,5,9.8,45,0,0,0,0,0
27,79,5,1005,0.33333333333333304,1,3.9,55,1,1,0,0,0
24,78,3,1011,0.3,3,9.1,55,0,0,0,0,0
27,22,8,1011,0.0,5,9.8,41,0,0,0,0,0
23,89,13,1006,0.7,3,5.4,62,0,0,1,0,1
23,89,19,1005,0.1,3,5.4,63,0,0,1,0,1
31,20,10,1008,0.0,5,10.7,31,0,0,0,0,0
26,28,6,1011,0.0,5,10.1,42,0,0,0,0,0
25,77,22,1007,0.1,3,3.9,46,1,1,0,0,0
29,46,4,1011,0.0,4,9.1,46,1,0,0,0,0
34,27,10,1007,0.0,5,11.2,33,0,0,0,0,0
28,20,8,1015,0.0,5,10.1,40,0,0,0,0,0
